Country,Happiness Score,Region,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI of household income reported in Gallup, by wp5-year"
Turkmenistan,5.247000000000001,Commonwealth of Independent States,2019,5.245600700000001,9.703984261,0.940658708,61.80000051,0.775559227,0.087916559,0.47758939899999997,0.589828014,0.264717152,,-1.16689837,-1.55156666,0.253438965
Algeria,5.211,Middle East and North Africa,2019,5.210950692,9.546585719,0.784664492,65.69999949,0.510025531,-0.181967557,0.7292391659999999,0.631177684,0.319589188,,-0.952171535,-0.8163751659999999,0.600014786
Morocco,5.207999999999999,Middle East and North Africa,2019,5.198527336000001,8.917251269,0.6167873939999999,65.60000102,0.80133152,-0.240444178,0.8003437720000001,0.636665583,0.314703539,0.383581281,-0.500184297,-0.165330924,0.533094446
Azerbaijan,5.207999999999999,Commonwealth of Independent States,2019,5.208056609,9.676400821,0.7818467809999999,65.19999949,0.738684297,-0.24046303300000002,0.606838703,0.594176034,0.193609173,0.77833583,-1.173044502,-0.455900088,0.287623038
Lebanon,5.197,Middle East and North Africa,2019,5.197300116,9.500548999,0.8112831909999999,66.59999847,0.622980773,-0.035030024,0.890164018,0.510658602,0.259227907,0.191581458,-1.077525795,-0.66547963,0.323039442
Indonesia,5.192,Southeast Asia,2019,5.1916742319999996,9.323224386,0.79893289,61.90000025,0.858114103,0.487460136,0.8859410879999999,0.8530379929999999,0.318910658,0.821416279,-0.147054787,-0.19040010899999998,0.442574908
China,5.191,East Asia,2019,5.1851504639999995,9.635199229,0.767113864,69.0,0.886497647,-0.20329356199999998,0.921661675,0.8343418440000001,0.183089902,,-0.9540587070000001,-0.094332326,0.570062399
Vietnam,5.175,Southeast Asia,2019,5.177697659,8.727751732,0.85413441,67.69999949,0.9018054609999999,-0.063577516,0.8038315779999999,0.6142240760000001,0.20680578,0.817793181,-0.559439302,-0.215940729,0.439658095
Bhutan,5.082,South Asia,2019,5.096360445,8.930631213,0.853495903,60.05000072,0.829035137,0.292332772,0.657225675,0.819879147,0.30459286,0.9534325770000001,0.455996949,0.267079923,0.42902777299999995
Cameroon,5.044,Sub-Saharan Africa,2019,5.047007084,8.123465856000001,0.676907142,51.90000025,0.765252332,-0.001970668,0.869159261,0.6454329089999999,0.366744846,0.615074297,-1.057147324,-0.948763847,0.548727035
Bulgaria,5.011,Central and Eastern Europe,2019,5.011092027,9.829602559,0.9305479729999999,66.60000102,0.704549492,-0.169304103,0.932934125,0.625031253,0.183142727,0.25544187399999996,0.307598695,0.17632839100000003,0.34593914
Ghana,4.996,Sub-Saharan Africa,2019,4.997861147,8.31956482,0.658207119,56.60000039,0.767107368,0.088514686,0.866282612,0.68538782,0.276214324,0.593446583,0.283864916,-0.11065898099999999,0.522314161
Ivory Coast,4.944,Sub-Saharan Africa,2019,4.9495519,8.187982877,0.63321956,48.90000026,0.7378257709999999,-0.054115689,0.773120165,0.6944834790000001,0.373705526,0.588969926,-0.642402769,-0.556470693,0.542840342
Nepal,4.913,South Asia,2019,4.9154396060000005,7.79718415,0.807254155,62.40000026,0.818243245,0.152130698,0.776348273,0.5783019660000001,0.377477367,0.56599764,-0.498990476,-0.77560386,0.48177174700000003
Jordan,4.906000000000001,Middle East and North Africa,2019,4.906100273,9.029233932,0.8113845390000001,66.60000102,0.766677797,-0.12336818599999999,0.739490986,0.63422811,0.351709276,,-0.614107371,0.186959125,0.37481369600000003
